,sample.id,exp,w_k,filt_type,phys_state,exp_phys_state,mock_neg,kelpbed_time,Archaea_Thaumarchaeota_Nitrososphaeria,Bacteria_Acidobacteria_Acidobacteriia,Bacteria_Acidobacteria_Blastocatellia_.Subgroup_4.,Bacteria_Acidobacteria_Holophagae,Bacteria_Acidobacteria_Thermoanaerobaculia,Bacteria_Actinobacteria_Acidimicrobiia,Bacteria_Actinobacteria_Actinobacteria,Bacteria_Actinobacteria_Nitriliruptoria,Bacteria_Armatimonadetes_Fimbriimonadia,Bacteria_Bacteroidetes_Bacteroidia,Bacteria_Bacteroidetes_Rhodothermia,Bacteria_Calditrichaeota_Calditrichia,Bacteria_Chlamydiae_Chlamydiae,Bacteria_Chloroflexi_Anaerolineae,Bacteria_Cloacimonetes_Cloacimonadia,Bacteria_Cyanobacteria_Oxyphotobacteria,Bacteria_Deinococcus.Thermus_Deinococci,Bacteria_Dependentiae_Babeliae,Bacteria_Epsilonbacteraeota_Campylobacteria,Bacteria_Fibrobacteres_Chitinivibrionia,Bacteria_Fibrobacteres_Fibrobacteria,Bacteria_Firmicutes_Bacilli,Bacteria_Firmicutes_Clostridia,Bacteria_Firmicutes_Erysipelotrichia,Bacteria_Firmicutes_Negativicutes,Bacteria_Fusobacteria_Fusobacteriia,Bacteria_Hydrogenedentes_Hydrogenedentia,Bacteria_Kiritimatiellaeota_Kiritimatiellae,Bacteria_Latescibacteria_Latescibacteria,Bacteria_Lentisphaerae_Lentisphaeria,Bacteria_Nitrospinae_Nitrospinia,Bacteria_Nitrospirae_Nitrospira,Bacteria_Omnitrophicaeota_Omnitrophia,Bacteria_Patescibacteria_Saccharimonadia,Bacteria_Planctomycetes_Phycisphaerae,Bacteria_Planctomycetes_Planctomycetacia,Bacteria_Proteobacteria_Alphaproteobacteria,Bacteria_Proteobacteria_Deltaproteobacteria,Bacteria_Proteobacteria_Gammaproteobacteria,Bacteria_Spirochaetes_Leptospirae,Bacteria_Spirochaetes_Spirochaetia,Bacteria_Tenericutes_Mollicutes,Bacteria_Verrucomicrobia_Verrucomicrobiae
asinsqrt_kelp04_S01_HB_S110,kelp04_S01_HB,kelp04,k,sterivex,H,kelp04_1_H,no,aq_june,0.022749218,0,0,0,0,0.083520905,0,0,0,0.859219834,0,0,0,0.014387124,0,0.107262763,0.073600256,0,0,0,0,0,0,0,0,0.023311112,0,0.011373873,0,0,0,0,0,0,0.016085433,0.247297063,0.284403902,0.097730357,0.396800171,0,0,0,0.32743392
asinsqrt_kelp04_S01_HC_S111,kelp04_S01_HC,kelp04,k,sterivex,H,kelp04_1_H,no,aq_june,0.026736073,0,0,0,0,0.092980203,0,0,0,0.838470999,0,0.010913872,0.007717197,0.006683272,0,0.068970754,0.044346013,0,0.010913872,0,0,0.007717197,0.009451644,0,0,0.013912685,0,0.016819866,0,0.012202141,0.014437911,0,0,0,0.018904132,0.313327945,0.313200983,0.093941602,0.39075328,0,0,0,0.296721117
asinsqrt_kelp04_S02_HA_S112,kelp04_S02_HA,kelp04,k,sterivex,H,kelp04_2_H,no,aq_june,0.020775121,0,0,0,0,0.052447807,0,0,0,0.844543907,0,0,0.008254696,0.011674036,0,0.046222572,0.084685689,0.010656847,0.015071343,0,0,0,0.010656847,0,0,0,0,0.015071343,0,0,0.011674036,0,0,0,0.087990449,0.314958267,0.36938137,0.148980394,0.346681111,0,0,0,0.238881392
asinsqrt_kelp04_S02_HB_S113,kelp04_S02_HB ,kelp04,k,sterivex,H,kelp04_2_H,no,aq_june,0.016246057,0,0,0,0,0.043464574,0,0,0,0.821534692,0,0,0,0.014944098,0,0.047273234,0.070003619,0.009011417,0.020151232,0,0,0,0,0,0,0,0,0.011921105,0,0,0.011036761,0,0,0,0.048546374,0.332824483,0.357873549,0.11059066,0.401216517,0,0.010075104,0,0.241172973
asinsqrt_kelp04_S02_HC_S114,kelp04_S02_HC,kelp04,k,sterivex,H,kelp04_2_H,no,aq_june,0.053867856,0,0,0,0,0.048415091,0,0,0,0.741473618,0,0,0,0.009797677,0,0.048216106,0.051307636,0,0.015178836,0,0,0,0,0,0,0.021014886,0,0.028735923,0,0,0,0,0,0,0.110024029,0.366417674,0.349509487,0.10581078,0.424759768,0,0,0.014532582,0.310252695
asinsqrt_kelp04_S03_EB_S118,kelp04_S03_EB,kelp04,k,sterivex,E,kelp04_3_E,no,aq_june,0.01445018,0,0,0,0,0.073542768,0,0,0,0.830738568,0,0,0.01221251,0,0,0.078467262,0.097546491,0,0.023808222,0,0,0,0,0,0,0.010923147,0,0.01445018,0,0,0,0,0,0,0.027851716,0.173839803,0.381919601,0.101912134,0.438122633,0,0,0,0.272643735
asinsqrt_kelp04_S03_EC_S119,kelp04_S03_EC,kelp04,k,sterivex,E,kelp04_3_E,no,aq_june,0,0,0,0,0,0.096133973,0,0,0,0.792537445,0.010089992,0,0,0,0,0.064056535,0.059940879,0,0.018877447,0,0,0,0,0,0,0,0,0.012357771,0,0,0,0,0,0,0.025726935,0.206387315,0.418807278,0.093569526,0.435646971,0,0,0,0.287680239
asinsqrt_kelp04_S03_HA_S115,kelp04_S03_HA,kelp04,k,sterivex,H,kelp04_3_H,no,aq_june,0.015379763,0,0,0,0,0.072346616,0,0,0,0.82700892,0.013115765,0,0,0.014663976,0,0.072346616,0.082391596,0,0.027825531,0,0,0,0,0,0,0,0,0,0,0,0.017959951,0,0,0,0.024539108,0.271091952,0.325182314,0.072197342,0.437548768,0,0,0,0.287443765
asinsqrt_kelp04_S03_HB_S116,kelp04_S03_HB ,kelp04,k,sterivex,H,kelp04_3_H,no,aq_june,0,0,0,0,0,0.057777434,0,0,0,0.809616239,0,0,0,0,0,0.060232015,0.063650225,0,0,0,0,0.0133361,0,0,0,0,0,0,0,0,0,0,0,0,0.029068587,0.355922387,0.322254099,0.128087628,0.38003264,0,0,0,0.301392789
asinsqrt_kelp04_S03_HC_S117,kelp04_S03_HC,kelp04,k,sterivex,H,kelp04_3_H,no,aq_june,0,0,0,0,0,0.047798779,0,0,0,0.83472155,0,0,0,0,0,0.108039973,0.091718047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023043881,0.222603083,0.408350405,0.10654399,0.358599192,0,0,0,0.299444606
asinsqrt_kelp04_S04_EA_S123,kelp04_S04_EA,kelp04,k,sterivex,E,kelp04_4_E,no,aq_june,0,0,0,0,0,0.043572634,0,0,0,0.658279483,0,0,0.00918314,0.014520126,0,0.061296704,0.068773566,0.050318656,0,0,0,0,0,0,0,0,0,0,0,0.011247083,0,0,0,0,0.014520126,0.115502523,0.202892984,0.077727649,0.807942378,0,0,0,0.173400778
asinsqrt_kelp04_S04_EB_S124,kelp04_S04_EB ,kelp04,k,sterivex,E,kelp04_4_E,no,aq_june,0,0,0,0,0,0.064035679,0,0,0,0.645597162,0,0,0,0.023499616,0,0.075910588,0.083449323,0.040710027,0.028782359,0,0,0,0,0,0,0.027971211,0,0,0,0,0,0,0,0,0.041271888,0.153790162,0.206650363,0.073750495,0.795061045,0,0,0.065812388,0.176092101
asinsqrt_kelp04_S04_EC_S125,kelp04_S04_EC,kelp04,k,sterivex,E,kelp04_4_E,no,aq_june,0,0,0,0,0,0.066628039,0,0,0,0.61295721,0,0,0,0.018959262,0,0.054754753,0.087676122,0.040227108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106886748,0.179477376,0.074304209,0.877203414,0,0,0,0.109398901
asinsqrt_kelp04_S04_HA_S120,kelp04_S04_HA,kelp04,k,sterivex,H,kelp04_4_H,no,aq_june,0.038807529,0,0,0,0,0.091240665,0.013508067,0,0,0.660606165,0,0,0.017869901,0.016544188,0,0.084183882,0.038214722,0,0.154626411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051900436,0.281515156,0.348319802,0.046318473,0.596789629,0,0,0,0.260467798
asinsqrt_kelp04_S04_HB_S121,kelp04_S04_HB ,kelp04,k,sterivex,H,kelp04_4_H,no,aq_june,0.042325282,0,0,0,0,0.072583939,0,0,0,0.655005286,0,0,0,0.013994049,0,0.095495336,0.045514106,0.01182702,0.073161801,0,0,0.01979122,0.016726322,0,0,0.012955912,0,0,0,0,0.029924025,0,0,0,0.076721306,0.27543305,0.347513447,0.068197891,0.634855778,0,0,0,0.228044828
asinsqrt_kelp04_S04_HC_S122,kelp04_S04_HC,kelp04,k,sterivex,H,kelp04_4_H,no,aq_june,0.208459229,0,0,0,0,0.060278365,0,0,0,0.408082143,0,0,0,0.012507363,0,0.045799283,0.039561043,0.029601375,0.025634606,0,0,0.019377031,0,0,0,0,0,0,0,0.02438312,0.046814146,0,0,0,0.068328291,0.220933978,0.393405627,0.0576186,0.82620807,0,0,0.029601375,0.208768046
asinsqrt_kelp04_S05_EA_S129,kelp04_S05_EA,kelp04,k,sterivex,E,kelp04_5_E,no,aq_june,0,0,0,0,0,0.065781652,0,0,0,0.808333896,0,0,0,0,0,0.070015606,0.04743801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.192252625,0.384880086,0.108100227,0.461549946,0,0,0,0.283374568
